company_name,industry,location,partners,person_quoted,product_url
Heineken Mexico,Food and Beverage,Mexico,"['Sixbell', 'Tethr It Now']","Edgar Muñoz Hernández, Head of Analytics and Support, Heineken Mexico",https://www.genesys.com/customer-stories/heineken-mexico/
Virgin Atlantic,Airline,UK with global operations,,"Louise Phillips, VP Customer Centers, Virgin Atlantic",https://www.genesys.com/customer-stories/virgin-atlantic/
O2E Brands,Home services,Canada,,"Michael Downing, Vice President, Business Operations, O2E Brands",https://www.genesys.com/customer-stories/o2e-brands/
BAC,Financial services,Central America,['ESMT'],"Cinthya Moreno Gómez, Service Channels Corporate Director, BAC",https://www.genesys.com/customer-stories/bac/
Grupo Sabin,Healthcare,Brazil,['InvenIT'],"Neilton Alves, Project Analyst, Grupo Sabin",https://www.genesys.com/customer-stories/grupo-sabin/
Beyond Bank,Financial services,Australia,['QPC'],"Brent Alexander, National Manager, Customer Relationship Center, Beyond Bank",https://www.genesys.com/customer-stories/beyond-bank/
Independent Health,Healthcare,US,['Call Journey'],"Amanda Prell, Director, Contact Center Experience, Independent Health",https://www.genesys.com/customer-stories/independent-health/
Narayana Health,Healthcare,India,"['Tata Communications', 'Salesforce']","Kumar KV, Group Chief Information Officer, Narayana Health",https://www.genesys.com/customer-stories/narayana-health/
ACEA,Utilities,Italy,,"Ivan Vigolo, Group Chief Innovation & Information Officer, ACEA",https://www.genesys.com/customer-stories/acea/
Prvidr,Software,Australia,,"Lawrence Drayton, Head of Customer Experience, Prvidr",https://www.genesys.com/customer-stories/prvidr/
,,,,,https://www.genesys.com/customer-stories/kiwi-com/
Nuuday,Telco/IT service provider,Denmark,['Netdesign'],"Michael Stinner, Head of CX Operations, Nuuday",https://www.genesys.com/customer-stories/nuuday/
The Trevor Project,Nonprofit,US,,"Peggy Rajski (she/her), Co-Founder and Interim CEO, The Trevor Project",https://www.genesys.com/customer-stories/the-trevor-project/
JPIMedia,Marketing and advertising,UK,['Kerv'],"Rebekah Avill, Head of Commercial Systems, JPIMedia",https://www.genesys.com/customer-stories/jpimedia/
Co-op Group,Retail,United Kingdom,['IPI'],"Claire Carroll, Head of Sales and Service, Co-op Group",https://www.genesys.com/customer-stories/co-op-group/
Universidad Tecnologica de México (UNITEC),Education,Mexico,,"Leandro Cruz Hernández, Digital Director and Customer Experience, UNITEC",https://www.genesys.com/customer-stories/unitec/
Cegid,SaaS solutions,"France, with global operations",,"Thierry Galvagni, CIO, Cegid",https://www.genesys.com/customer-stories/cegid/
,,,,,https://www.genesys.com/customer-stories/lolivier/
Graphic Solutions Group (GSG),Graphics equipment and consumables,US,['Mediu'],"Lauren Forte, Director of Inside Sales, Graphic Solutions Group",https://www.genesys.com/customer-stories/gsg/
Inter,Financial Services,Brazil,,"João Marcus Santos, IT Manager, Inter",https://www.genesys.com/customer-stories/inter/
Utility Warehouse,Home services and utilities,UK,,"Samit Patel, Head of Portfolio, Utility Warehouse",https://www.genesys.com/customer-stories/utility-warehouse/
Anglicare Sydney,Non-profit,Australia,"['QPC', 'Call Journey']","Roy Hazelwood, Contact Center Manager, Anglicare Sydney",https://www.genesys.com/customer-stories/anglicare-sydney/
,,,,,https://www.genesys.com/customer-stories/ignite-travel-group/
Auto Trader,Automotive,UK,"['PCI Pal', 'PureInsights', 'Zendesk']","Mike Braid, Head of Enterprise IT, Auto Trader",https://www.genesys.com/customer-stories/auto-trader/
SITA,Air transportation,Global,,"Vichaig Douangpaseuth, Senior Manager, Service Improvement SDN Network and Voice Practice, SITA",https://www.genesys.com/customer-stories/sita/
TOT Public Company Limited,Telecommunications,Thailand,,,https://www.genesys.com/customer-stories/tot-public-company-limited/
APM,Human resources,Australia,['Customer Driven'],"Michael McBride, General Manager, Customer Service Center, APM",https://www.genesys.com/customer-stories/apm/
Siemens Healthineers,Healthcare and life sciences,Germany with global operations,['Cognizant'],"Jochen Hostalka, Senior Vice President IT, Siemens Healthineers",https://www.genesys.com/customer-stories/siemens-healthineers/
PureGym,Health and fitness,UK and international,['Kerv'],"Scott Adams, Member Services Manager, PureGym",https://www.genesys.com/customer-stories/puregym/
,,,,,https://www.genesys.com/customer-stories/bbva-argentina/
Westpac New Zealand,Financial services,New Zealand,,"Jason Lock, Head of Contact Centers, Westpac NZ",https://www.genesys.com/customer-stories/westpac/
,,,,,https://www.genesys.com/customer-stories/dutch-lottery/
Modivcare,Healthcare,US,['Amazon Web Services'],"Heath Sampson, President & CEO, Modivcare",https://www.genesys.com/customer-stories/modivcare/
Rabobank,Financial services,The Netherlands with global operations,"['24sessions', 'Microsoft']","Thom Kokhuis, Head of Conversational Banking, Rabobank",https://www.genesys.com/customer-stories/rabobank/
Field Management Ireland,Business process outsourcer,Ireland,,"Rosemary Wynne, Digital Marketing Director, Field Management Ireland",https://www.genesys.com/customer-stories/field-management-ireland/
Northumbrian Water Limited,Utilities,UK,['Connect'],"David Halliday, IS Product Manager, Northumbrian Water Limited",https://www.genesys.com/customer-stories/northumbrian-water/
Fanatics,Retail,US with global operations,,"Nigel Ponds, Senior Director, Global Resource Planning and Telephony , Fanatics, Inc.",https://www.genesys.com/customer-stories/fanatics/
TSB Bank Limited,Financial services,New Zealand,,"Lisa Macnee, Head of Digital and Customer Engagement Center, TSB Bank Ltd",https://www.genesys.com/customer-stories/tsb-bank/
National Domestic Violence Hotline,Nonprofit,US,"['AWS', 'PureInsights']","Marty Hand, CTO, The Hotline",https://www.genesys.com/customer-stories/national-domestic-violence-hotline/
Brighton & Hove Albion Football Club,Sports and entertainment,UK,['Kerv'],"Brian Kearney, Digital Systems Project Manager, Brighton & Hove Albion Football Club",https://www.genesys.com/customer-stories/brighton-and-hove-albion-football-club/
Farmers Mutual Group (FMG),Insurance,New Zealand,"['Avtex', 'Microsoft']","Matt Harvey, Head of National Advice and Service Center, FMG",https://www.genesys.com/customer-stories/farmers-mutual-group/
FCT,Real estate tech and title insurance,Canada,,"Pat Smolak, Director Operations, Residential Solutions, FCT",https://www.genesys.com/customer-stories/fct/
Nexon Asia Pacific,IT and services,Australia,,"Malcolm Green, Senior Contact Center Engineer, Nexon",https://www.genesys.com/customer-stories/nexon-asia-pacific/
FirstCare,Human Resource management,UK,,"John Coyne, Head of IT, Data and Compliance, FirstCare",https://www.genesys.com/customer-stories/firstcare/
Multilaser,Manufacturing and retail,Brazil,['Survey Dynamix'],"Leonardo Castilho, Head eCommerce, After-sales and Digital Marketing, Multilaser",https://www.genesys.com/customer-stories/multilaser/
AdaptHealth,Healthcare,US,,"Bill Lewis, Senior Director, Infrastructure and Security Engineering, AdaptHealth",https://www.genesys.com/customer-stories/adapthealth/
City of Clearwater (Utility Customer Service Division),Government,US,,"Amy Sessions, Customer Service Division Manager, City of Clearwater",https://www.genesys.com/customer-stories/city-of-clearwater/
Benify,HR technology,Sweden and global operations,['Salesforce'],"Philip Hagenfeldt, Commercial System Lead, Benify",https://www.genesys.com/customer-stories/benify/
ConTe.it,Insurance,Italy,,"Francesco Del Gallo, Product Manager, ConTe.it",https://www.genesys.com/customer-stories/conte-it/
Fonterra,Dairy processing and nutrition,New Zealand and global,['Pyrios'],"Melanie Tuck, Manager, Farm Source Service Center, Fonterra",https://www.genesys.com/customer-stories/fonterra/
