,company_name,industry,location,partners,person_quoted,product_url,region,Person Name,Role in Company
0,TSB Bank Limited,Financial services,New Zealand,,"Lisa Macnee, Head of Digital and Customer Engagement Center, TSB Bank Ltd",https://www.genesys.com/customer-stories/tsb-bank/,APAC,Lisa Macnee, Head of Digital and Customer Engagement Center
1,ConTe.it,Insurance,Italy,,"Francesco Del Gallo, Product Manager, ConTe.it",https://www.genesys.com/customer-stories/conte-it/,EMEA,Francesco Del Gallo, Product Manager
2,DKV Euro Service GmbH & Co. KG,Transportation,Germany,['VR Voice GmbH'],"Robert Trojan, Team Manager Workplace and Network Services, DKV Euro Service",https://www.genesys.com/customer-stories/dkv/,EMEA,Robert Trojan, Team Manager Workplace and Network Services
3,Probe Group,Business process outsourcing,"Australia, New Zealand and the Philippines",,"Rohan Khanna, CTO, Probe Group",https://www.genesys.com/customer-stories/probe-group/,APAC,Rohan Khanna, CTO
4,eFinancial,Insurance,U.S.,,"Paul Bourdeaux, Chief Information Officer, Vericity (Fidelity Life Association and eFinancial)",https://www.genesys.com/customer-stories/efinancial/,,Paul Bourdeaux, Chief Information Officer
5,PATLive,Business process outsourcing,US,,"Jackie Gonzalez, Vice President, Operations, PATLive",https://www.genesys.com/customer-stories/patlive/,,Jackie Gonzalez, Vice President
6,Northumbrian Water Limited,Utilities,UK,['Connect'],"David Halliday, IS Product Manager, Northumbrian Water Limited",https://www.genesys.com/customer-stories/northumbrian-water/,EMEA,David Halliday, IS Product Manager
7,Pluxee,Human resources,France with global operations,,"Thibault Guerard, VP of Customer Experience and Care, Pluxee",https://www.genesys.com/customer-stories/pluxee/,EMEA,Thibault Guerard, VP of Customer Experience and Care
8,,,,,,https://www.genesys.com/customer-stories/mybudget/,APAC,,
9,Heineken Mexico,Food and Beverage,Mexico,"['Sixbell', 'Tethr It Now']","Edgar Muñoz Hernández, Head of Analytics and Support, Heineken Mexico",https://www.genesys.com/customer-stories/heineken-mexico/,LATAM,Edgar Muñoz Hernández, Head of Analytics and Support
10,Sicredi,Financial services,Brazil,['Mutant'],"Camilo Calligaro, Telecommunication Services Analyst, Sicredi",https://www.genesys.com/customer-stories/sicredi/,LATAM,Camilo Calligaro, Telecommunication Services Analyst
11,,,,,,https://www.genesys.com/customer-stories/dutch-lottery/,EMEA,,
12,Sage France,Business software,France with global operations,['eMite'],"Fabien Borras, Director Customer Operations, Tools, Data and Service, Sage France",https://www.genesys.com/customer-stories/sage-france/,EMEA,Fabien Borras, Director Customer Operations
13,Pluxee Romania,Employee engagement solutions,Romania,,"Andreea Coca, CX and Quality Manager, Pluxee Romania",https://www.genesys.com/customer-stories/pluxee-romania/,EMEA,Andreea Coca, CX and Quality Manager
14,Tokopedia,Ecommerce,Indonesia,,"Rudy Dalimunthe, Senior Vice President of Customer Excellence, Tokopedia",https://www.genesys.com/customer-stories/tokopedia/,APAC,Rudy Dalimunthe, Senior Vice President of Customer Excellence
15,,,,,,https://www.genesys.com/customer-stories/bbva-argentina/,LATAM,,
16,American Heart Association,Nonprofit,U.S.,,"Chip Sugrue, VP Customer Strategies, American Heart Association",https://www.genesys.com/customer-stories/american-heart-association/,,Chip Sugrue, VP Customer Strategies
17,,Financial,Chile,,"Mauricio Reyes Figueroa, Digital Development and Data Strategy Manager, Seyco",https://www.genesys.com/customer-stories/seyco/,LATAM,Mauricio Reyes Figueroa, Digital Development and Data Strategy Manager
18,Western Sydney University,Education,Australia,['Nexon Asia Pacific'],"Scott Snyder, Chief Information and Digital Officer, Western Sydney University",https://www.genesys.com/customer-stories/western-sydney-university/,APAC,Scott Snyder, Chief Information and Digital Officer
19,Security Bank,Financial,Philippines,,"Lucose Eralil, Head of Enterprise Technology and Operations",https://www.genesys.com/customer-stories/security-bank/,APAC,,
20,O2E Brands,Home services,Canada,,"Michael Downing, Vice President, Business Operations, O2E Brands",https://www.genesys.com/customer-stories/o2e-brands/,,Michael Downing, Vice President
21,Aeroporti di Roma,Travel,Italy,['ComApp'],"Marco Dottore, Head of Network and Infrastructure Project Management, Aeroporti di Roma",https://www.genesys.com/customer-stories/aeroporti-di-roma/,EMEA,Marco Dottore, Head of Network and Infrastructure Project Management
22,Twiddy & Company,Property rental,United States,,"Blake Stockslager, CIO, Twiddy & Company",https://www.genesys.com/customer-stories/twiddy-company/,,Blake Stockslager, CIO
23,Rabobank,Financial services,The Netherlands with global operations,"['24sessions', 'Microsoft']","Thom Kokhuis, Head of Conversational Banking, Rabobank",https://www.genesys.com/customer-stories/rabobank/,EMEA,Thom Kokhuis, Head of Conversational Banking
24,,,,,,https://www.genesys.com/customer-stories/quinstreet/,LATAM,,
25,Schneider Electric,Energy,France and more than 100 countries globally,,"Irina Zubova, Vice President, Digital Sales and Customer Support Enablement, Schneider Electric",https://www.genesys.com/customer-stories/schneider-electric/,EMEA,Irina Zubova, Vice President
26,Edenred Mexico,Prepaid services,Mexico,,"Aurelie Bagard, Director of Distant Sales, Edenred Mexico",https://www.genesys.com/customer-stories/edenred/,LATAM,Aurelie Bagard, Director of Distant Sales
27,Lowell Norway,Financial services,Norway,['Advania'],"Carl-Petter Udvang, Product Manager, Lowell Norway",https://www.genesys.com/customer-stories/lowell-norway/,EMEA,Carl-Petter Udvang, Product Manager
28,Stanley Steemer,Cleaning services,US,,"John Parente, Director of Contact Center Operations, Stanley Steemer",https://www.genesys.com/customer-stories/stanley-steemer/,,John Parente, Director of Contact Center Operations
29,Uplift Inc.,Travel fintech,US,['InflowCX'],"Chrissy Vining, Director of Customer Success, Uplift",https://www.genesys.com/customer-stories/uplift/,,Chrissy Vining, Director of Customer Success
30,Western Governors University,Education,US,,"Adam Davis, Vice President of Operations, Western Governors University",https://www.genesys.com/customer-stories/western-governors-university/,,Adam Davis, Vice President of Operations
31,Graphic Solutions Group (GSG),Graphics equipment and consumables,US,['Mediu'],"Lauren Forte, Director of Inside Sales, Graphic Solutions Group",https://www.genesys.com/customer-stories/gsg/,,Lauren Forte, Director of Inside Sales
32,AdaptHealth,Healthcare,US,,"Bill Lewis, Senior Director, Infrastructure and Security Engineering, AdaptHealth",https://www.genesys.com/customer-stories/adapthealth/,,Bill Lewis, Senior Director
33,King Price Insurance,Financial services,South Africa,['Connect'],"Bianca Nel, Product Owner, King Price Insurance",https://www.genesys.com/customer-stories/king-price-insurance/,EMEA,Bianca Nel, Product Owner
34,,Food delivery,Thailand,,"Preeyapat Rujum, Head of Customer Fulfillment, Purple Ventures Limited",https://www.genesys.com/customer-stories/robinhood/,APAC,Preeyapat Rujum, Head of Customer Fulfillment
35,,,,,,https://www.genesys.com/customer-stories/sureway/,APAC,,
36,Utility Warehouse,Home services and utilities,UK,,"Samit Patel, Head of Portfolio, Utility Warehouse",https://www.genesys.com/customer-stories/utility-warehouse/,EMEA,Samit Patel, Head of Portfolio
